Address,Zip Code,Area,Price Category,Current Price,List Price,Close Price,Baths Total,Bedrooms,Building SqFt,Lot Size,Year Built,CDOM,Subdivision
1026 Traweek Street,77055,77007/77055,Expensive,2350000,2290000,2350000,5.1,5,5306,14098,2021,40,Bonnie Oaks
7719 Betty Jane Lane,77055,77007/77055,Expensive,2350000,2500000,2350000,4.1,5,5685,11340,2006,10,Clay Woods
2 Burkhart Forest Court,77055,77007/77055,Expensive,2325000,2479000,2325000,5.1,5,6042,10002,2008,240,Spring Valley Village
1115 Glourie Drive,77055,77007/77055,Expensive,2325000,2300000,2325000,4.1,4,5026,15700,2015,2,Burkhardt Plaza
6024 Memorial Drive,77007,77007/77055,Expensive,2300000,2595000,2300000,3.2,3,5107,18368,2011,106,Glen Cove Sec 02
1005 W 7th 1/2 Street,77007,77007/77055,Expensive,2300000,2445000,2300000,4.2,4,4459,4140,2022,18,Kiam Place
701 E 8th Street,77007,77007/77055,Expensive,2270000,2395000,2270000,4.1,4,4524,6250,2018,18,Studes Sec Add
617 Harvard Street,77007,77007/77055,Expensive,2250000,2199000,2250000,5.1,4,4606,9900,1930,2,Houston Heights
1226 Mickey Way,77055,77007/77055,Expensive,2250000,2000000,2250000,4.1,4,4760,14800,2006,4,Ruvern Village
8521 Merlin Drive,77055,77007/77055,Expensive,2250000,2385000,2250000,4.2,4,5119,9600,2017,73,Spring Oaks Sec 03
1246 Ben Hur Drive,77055,77007/77055,Expensive,2247000,2295000,2247000,5.0,5,4877,10800,2012,47,Cedarwood Sec 02
1221 Archley Drive,77055,77007/77055,Expensive,2230000,3200000,2230000,5.2,4,8270,31047,2003,11,Ridgeley Place
610 E 7th Street,77007,77007/77055,Expensive,2222000,2295000,2222000,5.1,6,6185,6250,2012,5,Houston Heights
1713 Bayram Drive,77055,77007/77055,Expensive,2220000,2099000,2220000,6.0,4,5127,10800,2026,70,Spring Oaks R/P
726 E 7th Street,77007,77007/77055,Expensive,2217000,2199000,2217000,5.1,5,4737,6250,2026,99,Stude Sec 02
1510 Longacre Drive,77055,77007/77055,Expensive,2199900,2199900,2199900,5.1,6,5582,13144,2026,43,Timber Creek
6014 Floyd Street,77007,77007/77055,Expensive,2075000,2150000,2075000,3.1,4,4819,8117,2005,7,Glen Cove Sec 03
1701 Bayram Drive,77055,77007/77055,Expensive,2075000,2075000,2075000,4.2,4,5373,12825,2021,132,Spring Oaks R/P
8901 Bace Drive,77055,77007/77055,Expensive,2074950,2099950,2074950,4.1,5,4651,8200,2016,12,Bonnie Oaks Sec 02
7827 Brykerwoods Drive,77055,77007/77055,Expensive,2035000,2100000,2035000,4.1,5,4990,12700,2005,20,Brykerwoods Estates
6016 Feagan Street,77007,77007/77055,Expensive,2025000,2100000,2025000,3.1,4,4259,6820,2010,5,Glen Cove Sec 02
24 Village Oaks Lane,77055,77007/77055,Expensive,2015000,1875000,2015000,4.1,5,4741,18142,1998,8,Village Oaks
406 Columbia Street,77007,77007/77055,Expensive,2000000,2100000,2000000,5.1,5,4202,6600,2026,133,HOUSTON HEIGHTS
1518 Hillendahl Boulevard,77055,77007/77055,Expensive,2000000,2050000,2000000,5.1,5,6444,13300,2015,244,Monarch Oaks Sec 03
7614 Brykerwoods Drive,77055,77007/77055,Expensive,2000000,2149000,2000000,3.1,4,4494,11430,2008,43,Brykerwoods Estates
7514 Cuadro Lane,77055,77007/77055,Expensive,1968950,1970000,1968950,6.1,6,5760,6633,2025,0,Ravenna Sub
1609 Bayram Drive,77055,77007/77055,Expensive,1958747,1850000,1958747,5.1,5,4667,9450,2026,7,Spring Oaks R/P
7511 Viano Lane,77055,77007/77055,Expensive,1950000,1975000,1950000,5.1,5,5877,7840,2016,5,Ravenna Sub Amd 1
1513 Glourie Drive,77055,77007/77055,Expensive,1950000,1860000,1950000,4.1,4,4910,9126,2019,1,Glenmore Forest
6911 Hartland Avenue,77055,77007/77055,Expensive,1915000,1999900,1915000,4.1,5,5030,8118,2025,225,Afton Village Sec 01
402 Columbia Street,77007,77007/77055,Expensive,1900000,2100000,1900000,5.1,6,4538,6600,2026,222,Houston Heights
717 E 5th 1/2 Street,77007,77007/77055,Expensive,1900000,1950000,1900000,4.0,4,3289,7180,2025,111,Solar Street Plaza
9120 Hilldale Street,77055,77007/77055,Expensive,1895000,1895000,1895000,3.1,4,3712,19948,1997,3,Lee Park
7719 Brykerwoods Drive,77055,77007/77055,Expensive,1890000,1950000,1890000,4.1,4,4334,12700,2012,5,Brykerwoods Estates
4119 Allen St,77007,77007/77055,Expensive,1875000,1899000,1875000,4.0,3,3920,13891,2010,214,Magnolia
607 Harvard Street,77007,77007/77055,Expensive,1860000,1995000,1860000,3.1,4,3760,13200,1920,9,Heights
404 Columbia Street,77007,77007/77055,Expensive,1845000,1925000,1845000,5.1,5,4300,6600,2025,176,Houston Heights
8614 Westview Drive,77055,77007/77055,Expensive,1845000,1875000,1845000,4.1,4,4933,15200,2003,62,Kauffman
838 Ashland Street,77007,77007/77055,Expensive,1840000,1999999,1840000,3.1,4,3882,10341,2003,71,Ashland Heights
16 Pine Creek Lane,77055,77007/77055,Expensive,1831000,1800000,1831000,3.1,4,3000,13823,1970,4,Pine Creek Village
723 E 7th Street,77007,77007/77055,Expensive,1820000,1849900,1820000,4.0,5,3541,6250,2014,7,Stude
8610 Cedarbrake Drive,77055,77007/77055,Expensive,1810000,1949000,1810000,5.1,4,4692,10360,2007,149,Spring Valley
1104 Mosaico Lane,77055,77007/77055,Expensive,1805000,1875000,1805000,5.2,5,6079,9148,2016,11,Ravenna Spring Branch
6514 Rolla Street,77055,77007/77055,Expensive,1765000,1797000,1765000,4.1,4,4402,8125,2026,25,Westview Terrace
6502 Corbin Street,77055,77007/77055,Expensive,1761525,1699900,1761525,5.2,5,4855,8750,2025,151,Westview Terrace
6405 Rodrigo Street Unit#A,77007,77007/77055,Expensive,1760000,1824990,1760000,3.1,4,4050,2625,2026,94,Rodrigo Lndg
1410 Aldrich Street,77055,77007/77055,Expensive,1760000,1836880,1760000,5.1,5,5032,7552,2026,13,Westview Terrace
1108 Danbury Road,77055,77007/77055,Expensive,1754000,1790000,1754000,4.2,5,4325,11394,2005,8,Brykerwoods Sec 02
4316 Dickson Street,77007,77007/77055,Expensive,1750000,1785000,1750000,4.0,5,4340,8000,1999,69,West End Terrace
6525 Rolla Street,77055,77007/77055,Expensive,1750000,1799000,1750000,5.1,5,4587,8320,2026,64,Westview Terrace
1611 Lynnview Drive,77055,77007/77055,Expensive,1750000,1800000,1750000,4.1,5,5046,13200,2010,114,Monarch Oaks
6629 Clawson Street,77055,77007/77055,Expensive,1750000,1750000,1750000,4.1,5,4207,10625,2017,0,Westview Terrace
1323 Modiste Street,77055,77007/77055,Expensive,1750000,1795000,1750000,4.1,4,4172,9620,2012,78,Spring Oaks
6606 Sivley Street,77055,77007/77055,Expensive,1740000,1795000,1740000,4.1,4,5569,8125,2025,269,Westview Terrace
305 E 5th Street,77007,77007/77055,Expensive,1730000,1792000,1730000,3.1,4,3127,6600,1920,27,Houston Heights
736 E 7th 1/2 Street,77007,77007/77055,Expensive,1725000,1749000,1725000,5.0,4,3446,6250,2017,12,Stude Sec 02
7510 Ciano Lane,77055,77007/77055,Expensive,1725000,1795000,1725000,4.1,4,4729,7840,2015,53,Ravenna
824 Cortlandt Street,77007,77007/77055,Expensive,1700000,1798895,1700000,5.1,3,NULL,6600,1920,19,Houston Heights
6405 Rodrigo Street Unit#B,77007,77007/77055,Expensive,1700000,1698500,1700000,3.1,4,3842,2625,2026,18,Rodrigo Lndg
6606 Clawson Street,77055,77007/77055,Expensive,1700000,1700000,1700000,4.1,5,4128,8125,2026,7,Westview Terrace
6510 Sivley Street,77055,77007/77055,Expensive,1695000,1695000,1695000,4.2,4,5288,8125,2025,312,Westview Terrace
8321 Burkhart Court,77055,77007/77055,Expensive,1675000,1495000,1675000,3.1,4,3329,12283,1979,3,Brighton Place
1719 Bayram Drive,77055,77007/77055,Expensive,1650000,1650000,1650000,5.1,6,4420,8100,2026,0,Spring Oaks
8737 Banzer Street,77055,77007/77055,Expensive,1650000,1740000,1650000,4.1,4,4202,10991,2018,32,Timber Creek R/P
9041 Larston Street,77055,77007/77055,Expensive,1615000,1699000,1615000,4.1,4,4201,10064,2017,26,Larston Court
7302 Schiller Street,77055,77007/77055,Expensive,1605000,1685000,1605000,4.1,4,4877,9900,2025,71,Pine Terrace Sec 03
6015 Floyd Street,77007,77007/77055,Expensive,1600000,1749000,1600000,4.1,4,4372,6270,2005,33,Glen Cove Sec 03
1639 Woodvine Drive,77055,77007/77055,Expensive,1600000,1650000,1600000,5.1,5,4920,7397,2025,39,Pine Terrace
7515 Little Caprese Lane,77055,77007/77055,Expensive,1595000,1595000,1595000,4.1,4,4638,3827,2025,52,Ravenna Sub
6610 Housman Street,77055,77007/77055,Expensive,1580000,1595000,1580000,5.1,5,4512,7500,2025,94,Westview Terrace Sec 02 R/P
6533 Corbin Street,77055,77007/77055,Expensive,1575000,1600000,1575000,4.1,4,4622,6825,2022,122,Westview Terrace
6414 Teluco Street,77055,77007/77055,Expensive,1575000,1649000,1575000,4.1,4,3918,10205,2026,0,Westview Terrace Sec 02
6534 Corbin Street,77055,77007/77055,Expensive,1575000,1655000,1575000,4.2,4,4832,8125,2025,232,Westview Terrace
1522 Longacre Drive,77055,77007/77055,Expensive,1575000,1625000,1575000,4.1,5,3945,11699,2007,5,Timber Crk Rep
7546 Awty School Lane,77055,77007/77055,Expensive,1560000,1590000,1560000,4.1,4,4560,3740,2022,74,Ravenna Sub
810 Allston Street,77007,77007/77055,Expensive,1555000,1699000,1555000,4.0,4,3397,6204,2018,41,Houston Heights
5710 Logan Lane,77007,77007/77055,Expensive,1550250,1700000,1550250,4.1,4,4276,5766,1999,91,Tuscan Villas
3 Martin Lane,77055,77007/77055,Expensive,1550000,1595000,1550000,3.1,4,3777,11103,1992,23,Spring Valley Village
525 Cortlandt Street,77007,77007/77055,Expensive,1545000,1395000,1545000,3.1,4,3404,6600,1920,1,Houston Heights
306 E 5th Street,77007,77007/77055,Expensive,1525000,1575000,1525000,5.1,5,4144,5500,2014,86,Houston Heights
1619 Woodvine Drive,77055,77007/77055,Expensive,1520000,1550000,1520000,4.2,4,4572,10140,2025,24,Pine Terrace
1714 Cranway Drive,77055,77007/77055,Expensive,1515000,1395000,1515000,4.1,5,3540,11400,1956,5,Springwood Add
6433 Schiller Street,77055,77007/77055,Expensive,1515000,1450000,1515000,3.1,4,3663,8255,2017,8,Westview Terrace Sec 02
1206 Castellina Lane,77055,77007/77055,Expensive,1513500,1515000,1513500,4.1,5,4284,4902,2026,0,Ravenna Sub
215 Calle Ronda Place,77007,77007/77055,Expensive,1512500,1525000,1512500,4.1,3,3852,2147,2023,18,Caceres
513 W 8th Street,77007,77007/77055,Expensive,1500000,1649900,1500000,4.1,4,3728,4400,2025,112,Houston Heights
1717 Bayram Drive,77055,77007/77055,Expensive,1500000,1499000,1500000,6.0,4,4213,8100,2017,48,Spring Oaks Rep
9618 Larston Street,77055,77007/77055,Expensive,1494500,1490000,1494500,5.1,5,4435,8450,2024,1,Long Point Woods
7118 Schiller Street,77055,77007/77055,Expensive,1490000,1495000,1490000,4.1,5,4028,10430,2026,105,Pine Terrace
1502 Story Street,77055,77007/77055,Expensive,1485000,1485990,1485000,4.1,5,4485,10176,2025,430,Westview Terrace
8733 Banzer Street,77055,77007/77055,Expensive,1482013,1350000,1482013,3.0,4,2547,10095,1955,4,Timber Creek
517 Harvard Street,77007,77007/77055,Expensive,1480000,1540000,1480000,3.1,4,2858,6075,1907,46,Houston Heights
432 Arlington Street,77007,77007/77055,Expensive,1475000,1425000,1475000,4.0,4,3059,6600,2011,5,Houston Heights
805 Columbia Street,77007,77007/77055,Expensive,1475000,1445000,1475000,3.1,4,2972,6600,2009,6,Houston Heights Add
1730 Hollister Street,77055,77007/77055,Expensive,1475000,1485600,1475000,4.1,4,3715,13223,2014,5,Timber Creek R/P
4614 Inker Street,77007,77007/77055,Expensive,1462766,1499000,1462766,4.1,6,6228,10000,2007,58,Brunner Add
9710 Larston Street,77055,77007/77055,Expensive,1462000,1460000,1462000,5.1,5,3927,8280,2026,7,Long Point Woods
7115 Raton Street,77055,77007/77055,Expensive,1454000,1492500,1454000,5.2,5,4375,7200,2025,210,Pine Terrace
1139 Castellina Lane,77055,77007/77055,Expensive,1450000,1475000,1450000,5.1,5,4316,4094,2025,152,Ravenna
9630 Panola Way,77055,77007/77055,Expensive,1430034,1435000,1430034,5.1,5,4430,9100,2025,12,Long Point Woods
6605 Rolla Street,77055,77007/77055,Expensive,1430000,1499500,1430000,5.2,5,4596,8320,2019,99,Westview Terrace
1301 Ben Hur Drive,77055,77007/77055,Expensive,1428875,1325000,1428875,2.1,4,2620,10800,1989,4,Cedarwood
1504 Story Street,77055,77007/77055,Expensive,1425900,1425900,1425900,4.1,5,4242,10176,2025,457,Westview Terrace
8710 Burkhart Road,77055,77007/77055,Expensive,1425000,1449000,1425000,3.1,4,2747,10800,1958,9,Spring Valley Sec 02
1202 Castellina Lane,77055,77007/77055,Expensive,1425000,1425000,1425000,4.1,4,3832,4944,2025,0,Ravenna Sub
1139 Mosaico Lane,77055,77007/77055,Expensive,1425000,1425000,1425000,5.1,5,3774,3800,2025,145,Ravenna Sub Amd #1
1201 Confederate Road,77055,77007/77055,Expensive,1420000,1420000,1420000,4.1,4,4482,8320,2025,347,Long Point Woods
7207 Housman Street,77055,77007/77055,Expensive,1410000,1485000,1410000,4.1,4,4916,7500,2025,385,Pine Terrace Sec 02
7210 Jalna Street,77055,77007/77055,Expensive,1399000,1399000,1399000,4.0,5,4337,7200,2026,155,Pine Terrace
819 Blackshire Lane,77055,77007/77055,Expensive,1399000,1395000,1399000,3.1,3,3541,1638,2019,120,Somerset Green
1405 Confederate Road,77055,77007/77055,Expensive,1395000,1395000,1395000,4.1,4,4099,8840,2025,122,Long Point Woods
1143 Castellina Lane,77055,77007/77055,Expensive,1395000,1395000,1395000,4.1,4,4108,3264,2026,61,Ravenna
1205 Confederate Road,77055,77007/77055,Expensive,1395000,1510000,1395000,4.1,5,4437,8320,2025,141,Long Point Woods
6036 Feagan Street,77007,77007/77055,Expensive,1394000,1350000,1394000,3.0,3,2119,7480,1940,7,Glen Cove Sec
543 Threlkeld St,77007,77007/77055,Expensive,1384000,1384000,1384000,2.1,3,2866,10000,2010,186,Usener Add
6422 Schiller Street,77055,77007/77055,Expensive,1380000,1370000,1380000,4.1,4,3278,8125,2022,4,Westview Terrace Sec 02
633 Oxford Street,77007,77007/77055,Expensive,1375000,1425000,1375000,2.1,3,2700,6600,2011,102,The Heights
9142 Rangely Drive,77055,77007/77055,Expensive,1375000,1375000,1375000,3.1,4,3479,12125,2026,1,Western Oaks
1933 Restridge Drive,77055,77007/77055,Expensive,1375000,1375000,1375000,5.1,5,4458,7995,2026,7,Ridgecrest Sec
844 Cortlandt Street,77007,77007/77055,Expensive,1370000,1390000,1370000,2.0,4,1956,13200,1920,49,Houston Heights
1260 Fries Road,77055,77007/77055,Expensive,1370000,1425000,1370000,3.1,4,3547,11402,1991,11,Spring Valley Village
1240 Mosaico Lane,77055,77007/77055,Expensive,1360000,1388000,1360000,3.1,4,3833,4896,2018,19,Ravenna Sub
1314 Caywood Lane,77055,77007/77055,Expensive,1350000,1299000,1350000,3.1,4,3668,12008,2013,1,Shady Villa Sec 02
1506 Longacre Drive,77055,77007/77055,Expensive,1350000,1350000,1350000,4.2,4,3858,17925,1954,77,TIMBER CREEK
7550 Little Caprese Lane,77055,77007/77055,Expensive,1338500,1338500,1338500,4.1,4,3584,2313,2022,0,Ravenna Sub
7207 Tickner Street,77055,77007/77055,Expensive,1332000,1350000,1332000,4.1,4,4552,6150,2015,9,Tickner Villas
9761 Westview Drive,77055,77007/77055,Expensive,1325000,1350000,1325000,5.1,5,5943,11872,2016,45,Spring Branch Woods
638 Harvard Street,77007,77007/77055,Expensive,1320000,1400000,1320000,3.1,3,2165,6600,1920,36,Houston Heights
7311 Jalna Street,77055,77007/77055,Expensive,1320000,1349000,1320000,4.1,5,4129,7200,2026,92,Pine Terrace
1458 Oak Tree Drive,77055,77007/77055,Expensive,1302000,1350000,1302000,5.1,5,4568,9100,2025,118,Long Point Woods
606 Rutland Street,77007,77007/77055,Expensive,1300000,1300000,1300000,3.1,4,3420,4356,2013,107,Houston Heights
6642 Wanita Place,77007,77007/77055,Expensive,1300000,1395000,1300000,3.1,4,4341,5375,1995,214,Minola
6903 Schiller Street,77055,77007/77055,Expensive,1300000,1475000,1300000,4.1,4,4790,7800,2017,24,Pine Terrace
6522 Westview Drive,77055,77007/77055,Expensive,1300000,1350000,1300000,4.0,5,4212,6825,2024,515,Westview Terrace
8810 Echo Valley Drive,77055,77007/77055,Expensive,1299000,1450000,1299000,4.1,3,3120,10000,2011,111,Echo Vly Estates Rep 01
700 E 9th Street,77007,77007/77055,Expensive,1295000,1295000,1295000,2.0,3,2541,6250,1918,4,Stude 2
805 Heights Boulevard,77007,77007/77055,Expensive,1284000,1339900,1284000,3.0,4,3196,7500,1916,74,Houston Heights
8729 Burkhart Road,77055,77007/77055,Expensive,1272500,1349000,1272500,3.0,4,3047,10800,1958,6,Spring Valley
1402 Lynnview Drive,77055,77007/77055,Expensive,1265000,1325000,1265000,4.1,4,3687,12157,2005,48,Monarch Oaks Pt Sec 03 Rep
1922 Norcrest Dr Drive,77055,77007/77055,Expensive,1255000,1269000,1255000,4.1,4,3880,7500,2026,99,Ridgecrest Sec 02
135 Calle Catalina Place,77007,77007/77055,Expensive,1250000,1299000,1250000,4.1,3,4304,3071,2007,12,Caceres
242 Birdsall Street,77007,77007/77055,Expensive,1250000,1298000,1250000,3.2,3,3766,2500,2022,97,Rice Military
1131 Castellina Lane,77055,77007/77055,Expensive,1250000,1250000,1250000,4.1,4,3368,3515,2024,477,Ravenna
6503 Rodrigo Street,77007,77007/77055,Expensive,1244000,1299000,1244000,3.1,4,3248,2625,2013,3,Camp Logan 1st Pt Rep 2
8307 Creekstone Circle,77055,77007/77055,Expensive,1225000,1199000,1225000,2.1,5,2576,10303,1971,54,Friarcreek
8553 Western Drive,77055,77007/77055,Expensive,1225000,1249999,1225000,4.1,4,3922,9000,2025,276,Ridgecrest Sec 02
11 Pecan Trail Lane,77055,77007/77055,Expensive,1225000,1275000,1225000,3.1,4,3957,10259,2000,8,Pecan Trail
1302 Friarcreek Lane,77055,77007/77055,Expensive,1225000,1260000,1225000,2.1,4,2772,11590,1970,107,Friarcreek
1307 Story Street,77055,77007/77055,Expensive,1222500,1225000,1222500,3.1,4,4332,7605,2015,5,Westview Terrace
38 E Bend Lane,77007,77007/77055,Expensive,1220000,1300000,1220000,3.1,3,4596,6612,1995,15,Arlington Terrace Sec 02
8333 Cedarspur Drive,77055,77007/77055,Expensive,1220000,1275000,1220000,3.1,4,3480,10868,1978,8,Brighton Place
818 Dunleigh Meadows Lane,77055,77007/77055,Expensive,1215000,1300000,1215000,3.1,3,3223,1742,2020,6,Somerset Green
714 Rutland Street,77007,77007/77055,Expensive,1205000,1150000,1205000,2.1,3,2414,5441,2007,6,Houston Heights
619 Asbury Street,77007,77007/77055,Expensive,1200000,1250000,1200000,2.1,3,2923,7500,1995,5,Rice Military
9253 Elizabeth Road,77055,77007/77055,Expensive,1200000,1299000,1200000,2.0,3,1695,37290,1949,26,Campbell Place
1114 Guinea Drive,77055,77007/77055,Expensive,1200000,1375000,1200000,3.0,4,3386,15700,1961,34,Burkhardt Plaza
710 Waverly Street Unit#E,77007,77007/77055,Expensive,1199999,1199999,1199999,3.1,3,3158,3519,2025,51,Waverly Trail
1957 Restridge Drive,77055,77007/77055,Expensive,1196863,1155000,1196863,4.1,5,3914,8021,2025,66,Ridgecrest
8102 Montridge Drive,77055,77007/77055,Expensive,1195000,1195000,1195000,4.1,4,4240,7200,2025,314,Glenview
3711 Somerset Green Drive,77055,77007/77055,Expensive,1190000,1190000,1190000,3.1,3,3150,2240,2019,251,Somerset Green Sec 2
733 Ashland Street Unit#C,77007,77007/77055,Expensive,1180000,1100000,1180000,2.1,3,2370,3643,2015,4,Ashland Court Estates
6209 Westcott Street,77007,77007/77055,Expensive,1180000,1200000,1180000,4.1,4,3289,2500,2022,928,camp logan
8553 Montridge Drive,77055,77007/77055,Expensive,1180000,1275000,1180000,4.1,5,3797,10800,2020,14,Ridgecrest Sec 02
2554 Roy Circle,77007,77007/77055,Expensive,1175000,1100000,1175000,3.1,4,2996,12670,2019,8,Cottage Oaks
29 N Creekside Court,77055,77007/77055,Expensive,1160000,1150000,1160000,4.1,4,3358,3648,2007,3,Creekside Villas/Memorial
1933 Ridgemore Drive,77055,77007/77055,Expensive,1160000,1175000,1160000,4.1,4,3633,7995,2025,7,Ridgecrest Sec 01
1905 Norcrest Drive,77055,77007/77055,Expensive,1159000,1139000,1159000,4.1,5,3795,8125,2025,185,Ridgecrest
732 Allston Street,77007,77007/77055,Expensive,1157500,1165000,1157500,3.1,4,3000,3300,2020,16,Allston Enclave
504 Oxford Street,77007,77007/77055,Expensive,1150000,1150000,1150000,3.1,4,3189,2800,2020,7,Oxford Maisons
7535 Ciano Lane,77055,77007/77055,Expensive,1150000,1190000,1150000,4.1,4,3287,3808,2022,7,Ravenna Sub
2 Wild Oak Circle,77055,77007/77055,Expensive,1150000,1150000,1150000,3.0,4,2150,12243,1977,31,Echo Vly Sec 03
6534 Westview Drive,77055,77007/77055,Expensive,1150000,1250000,1150000,5.1,5,4061,6825,2025,107,Westview Terrace
1240 Bingle Road,77055,77007/77055,Expensive,1150000,1199000,1150000,2.1,4,2976,15271,1998,23,NOT CODED
8630 Cedarbrake Drive,77055,77007/77055,Expensive,1150000,1199900,1150000,2.0,3,2056,16020,1966,47,Magnolia Valley
34 Windsor Court,77055,77007/77055,Expensive,1143320,1098000,1143320,3.2,4,4301,5497,2008,6,Windsor Court
6619 Minola Street,77007,77007/77055,Expensive,1140000,1150000,1140000,3.1,3,3234,2550,2015,127,Camp Logan
1523 Cunningham Parc Lane,77055,77007/77055,Expensive,1140000,1165000,1140000,4.1,5,4078,2912,2016,415,Parc Cunningham
1918 Ridgecrest Drive,77055,77007/77055,Expensive,1140000,1149000,1140000,4.1,5,3930,9191,2026,180,Ridgecrest
1327 Hunters Meadow Lane,77055,77007/77055,Expensive,1130000,1145000,1130000,3.1,3,4021,3646,2018,14,Clay Estate Pt Rep #4
7913 Turquoise Lane,77055,77007/77055,Expensive,1129492,1139000,1129492,4.1,5,3800,7630,2025,236,Ridgecrest
3604 Dorset Cliff Lane,77055,77007/77055,Expensive,1120000,1145000,1120000,4.1,5,4214,2475,2023,82,Somerset Green Sec 7
7543 Ciano Lane,77055,77007/77055,Expensive,1117000,1115000,1117000,4.0,4,3161,2529,2025,84,Ravenna
1706 Cranway Drive,77055,77007/77055,Expensive,1110000,980000,1110000,2.0,4,2560,11400,1956,4,Springwood
711 Tulane Street,77007,77007/77055,Expensive,1100000,999950,1100000,2.1,3,2250,3300,2017,1,Tulane Trails
815B Lawrence Street,77007,77007/77055,Expensive,1100000,1149990,1100000,4.0,4,3009,3300,2026,144,Harding Heights
6505 Taggart Street Unit#A,77007,77007/77055,Expensive,1100000,1100000,1100000,4.1,3,2926,2724,2014,9,Taggart Ave Gardens
840 Alexander Street,77007,77007/77055,Expensive,1100000,1250000,1100000,2.1,3,2690,6160,2007,40,Harding Heights
510 E 7th Street,77007,77007/77055,Expensive,1100000,1239000,1100000,2.1,3,2987,3307,2000,94,Columbia Heights Sec 01
6030 Blossom Street,77007,77007/77055,Expensive,1100000,1150000,1100000,2.0,3,2018,6540,1947,15,Glen Cove
